product,company_product_id,store_id,is_onsale,regular_price_ea,current_price_ea,edited_at,product_id,company_id
Carrots,42304489,1499,0,0,2.49,2021-11-11,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-07-22,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-07-29,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-08-05,55106953,5
Cauliflower,43117493,1499,0,0,5.49,2021-11-25,55919957,5
Cauliflower,43117493,1499,0,0,4.99,2021-12-02,55919957,5
Cauliflower,43117493,1499,0,0,4.99,2021-12-30,55919957,5
Cauliflower,43117493,1499,0,0,4.99,2021-11-18,55919957,5
Cauliflower,43117493,1499,0,0,4.99,2021-08-12,55919957,5
Cauliflower,43117493,1499,0,0,4.99,2020-11-19,55919957,5
Cauliflower,43117493,1499,0,0,4.99,2020-11-26,55919957,5
Cauliflower,43117493,1499,0,0,5.99,2020-12-03,55919957,5
Cauliflower,43117493,1499,0,0,5.99,2020-12-10,55919957,5
Cauliflower,43117493,1499,0,0,4.99,2020-12-24,55919957,5
Cauliflower,43117493,1499,0,0,4.99,2020-12-31,55919957,5
Cauliflower,43117493,1499,0,0,4.99,2020-12-31,55919957,5
Cauliflower,43117493,1499,1,4,3.99,2021-01-10,55919957,5
Cauliflower,43117493,1499,1,4,2.99,2021-01-17,55919957,5
Cauliflower,43117493,1499,0,0,5.99,2021-01-21,55919957,5
Cauliflower,43117493,1499,0,0,5.99,2021-02-04,55919957,5
Cauliflower,43117493,1499,0,0,5.99,2021-02-11,55919957,5
Cauliflower,43117493,1499,0,0,5.99,2021-02-18,55919957,5
Cauliflower,43117493,1499,0,0,5.99,2021-02-25,55919957,5
Cauliflower,43117493,1499,0,0,5.99,2021-03-04,55919957,5
Cauliflower,43117493,1499,0,0,5.99,2021-03-11,55919957,5
Cauliflower,43117493,1499,0,0,5.99,2021-03-18,55919957,5
Cauliflower,43117493,1499,0,0,4.99,2021-03-25,55919957,5
Cauliflower,43117493,1499,0,0,4.99,2021-04-01,55919957,5
Cauliflower,43117493,1499,1,4,2.99,2021-04-08,55919957,5
Cauliflower,43117493,1499,0,0,5.99,2021-04-15,55919957,5
Cauliflower,43117493,1499,0,0,4.99,2021-04-22,55919957,5
Cauliflower,43117493,1499,1,4,3.99,2021-05-01,55919957,5
Cauliflower,43117493,1499,0,0,5.99,2021-05-06,55919957,5
